ts_s,pid,tid,futex_key_addr,futex_key_word,futex_key_offset,total_requests,successful_count
2025-08-27 14:08:53.667145,13120,13751,18446619757348965632,131772475293696,576,1,1
2025-08-27 14:08:53.667145,13253,16544,18446619754767492736,124874429988864,2132,1,1
2025-08-27 14:08:53.667145,13253,16537,18446619754767492736,124874161270784,2560,2,2
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161192960,2420,3,3
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874161254400,3684,1,1
2025-08-27 14:08:53.667145,13120,13756,18446619757348965632,131772469637120,3920,5,5
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,110009501986816,1408,1,1
2025-08-27 14:08:53.667145,13253,16542,18446619754767492736,124874161287168,1472,2,2
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874161020928,1888,3,3
2025-08-27 14:08:53.667145,13116,13536,18446619754767482880,137590537728000,716,3,3
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874161020928,1972,3,3
2025-08-27 14:08:53.667145,13116,13757,18446619754767482880,137588877488128,3604,127,127
2025-08-27 14:08:53.667145,13253,16545,18446619754767492736,124874161250304,148,1,1
2025-08-27 14:08:53.667145,13019,13493,18446619757348945920,824634130432,2120,6,6
2025-08-27 14:08:53.667145,838,12627,18446619754133548544,110455243796480,984,3,3
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874161250304,148,1,1
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874161020928,1968,1,1
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161278976,2004,3,3
2025-08-27 14:08:53.667145,13019,13495,18446619757348945920,22147072,2016,68,68
2025-08-27 14:08:53.667145,13253,16546,18446619754767492736,124874093789184,2180,1,1
2025-08-27 14:08:53.667145,13116,16575,18446619754767482880,137588906119168,1044,2,2
2025-08-27 14:08:53.667145,13095,13669,18446619754767485696,824634146816,3912,73,73
2025-08-27 14:08:53.667145,13019,13494,18446619757348945920,22151168,4088,6,6
2025-08-27 14:08:53.667145,13253,16542,18446619754767492736,124874161287168,1476,1,1
2025-08-27 14:08:53.667145,13253,16541,18446619754767492736,124874161192960,2416,1,1
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874161233920,1428,1,1
2025-08-27 14:08:53.667145,12972,13411,18446619755031287808,135707930460160,4024,7,7
2025-08-27 14:08:53.667145,13253,13684,18446619754767492736,124874429988864,2128,10,10
2025-08-27 14:08:53.667145,13253,13684,18446619754767492736,124874429988864,2132,8,8
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161192960,2416,1,1
2025-08-27 14:08:53.667145,13019,13493,18446619757348945920,824634138624,2888,13,13
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874161192960,2420,1,1
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874161262592,3124,1,1
2025-08-27 14:08:53.667145,838,15305,18446619754133548544,824634265600,2376,41,41
2025-08-27 14:08:53.667145,13019,13672,18446619757348945920,824634130432,3912,31,31
2025-08-27 14:08:53.667145,13253,16536,18446619754767492736,124874161233920,1428,2,2
2025-08-27 14:08:53.667145,13253,13684,18446619754767492736,124874429988864,2048,3,3
2025-08-27 14:08:53.667145,12972,12972,18446619755031287808,135707886546944,2276,1,1
2025-08-27 14:08:53.667145,13120,16577,18446619757348965632,131772475289600,3392,1,1
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874161373184,3252,1,1
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874161250304,144,2,2
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874161287168,1472,2,2
2025-08-27 14:08:53.667145,13120,13756,18446619757348965632,131772470726656,1076,42,42
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874161192960,2416,3,3
2025-08-27 14:08:53.667145,13253,16537,18446619754767492736,124874429988864,2128,1,1
2025-08-27 14:08:53.667145,13253,16544,18446619754767492736,124874093789184,2096,1,1
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161270784,2564,1,1
2025-08-27 14:08:53.667145,13253,16536,18446619754767492736,124874161262592,3040,1,1
2025-08-27 14:08:53.667145,13253,16544,18446619754767492736,124874161242112,740,2,2
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874161287168,1476,1,1
2025-08-27 14:08:53.667145,13253,16545,18446619754767492736,124874161278976,1920,2,2
2025-08-27 14:08:53.667145,12972,12972,18446619755031287808,135707842740224,2340,19,19
2025-08-27 14:08:53.667145,13116,13757,18446619754767482880,137590537728000,716,2,2
2025-08-27 14:08:53.667145,13116,16575,18446619754767482880,137588907171840,916,8,8
2025-08-27 14:08:53.667145,13019,13672,18446619757348945920,22155264,248,1,1
2025-08-27 14:08:53.667145,13253,16536,18446619754767492736,124874161254400,3684,1,1
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161250304,64,3,3
2025-08-27 14:08:53.667145,13120,16577,18446619757348965632,131772475293696,1856,70,70
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874161287168,1472,1,1
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161262592,3120,1,1
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161020928,1968,1,1
2025-08-27 14:08:53.667145,13095,13670,18446619754767485696,824638144512,3912,17,17
2025-08-27 14:08:53.667145,13019,13524,18446619757348945920,824634130432,3912,29,29
2025-08-27 14:08:53.667145,838,15375,18446619754133548544,824634265600,2376,8,8
2025-08-27 14:08:53.667145,13120,13755,18446619757348965632,131772475289600,3392,1,1
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874161287168,1476,2,2
2025-08-27 14:08:53.667145,13253,16544,18446619754767492736,124874093789184,2180,1,1
2025-08-27 14:08:53.667145,13120,13756,18446619757348965632,131772475240448,1712,5,5
2025-08-27 14:08:53.667145,13192,13911,18446619754547964032,17137664,2872,3,3
2025-08-27 14:08:53.667145,13095,13669,18446619754767485696,27942912,2808,14,14
2025-08-27 14:08:53.667145,13253,16536,18446619754767492736,124874161393664,4048,1,1
2025-08-27 14:08:53.667145,13253,16543,18446619754767492736,124874161254400,3600,1,1
2025-08-27 14:08:53.667145,13116,16575,18446619754767482880,137588882780160,3492,14,14
2025-08-27 14:08:53.667145,12972,12972,18446619755031287808,93969087700992,3396,7,7
2025-08-27 14:08:53.667145,13019,13493,18446619757348945920,824634138624,1096,20,20
2025-08-27 14:08:53.667145,13019,13493,18446619757348945920,824634130432,3912,5,5
2025-08-27 14:08:53.667145,16436,16438,18446619754547962624,98153306628096,3616,4,4
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161393664,3968,4,4
2025-08-27 14:08:53.667145,13253,16536,18446619754767492736,124874161262592,3120,1,1
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874161278976,2004,2,2
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161250304,148,3,3
2025-08-27 14:08:53.667145,13120,13756,18446619757348965632,131772471996416,3600,3,3
2025-08-27 14:08:53.667145,13019,13672,18446619757348945920,22155264,224,111,111
2025-08-27 14:08:53.667145,12972,12972,18446619755031287808,135707878146048,2276,2,2
2025-08-27 14:08:53.667145,12779,12814,18446619755031270912,17137664,3104,37,37
2025-08-27 14:08:53.667145,13116,13757,18446619754767482880,137588906119168,1044,1,1
2025-08-27 14:08:53.667145,13253,16541,18446619754767492736,124874161233920,1424,1,1
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161020928,1972,1,1
