ts_s,pid,tid,futex_key_addr,futex_key_word,futex_key_offset,total_requests,total_time,hist0,hist1,hist2,hist3,hist4,hist5,hist6,hist7
2025-08-27 14:07:17.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:18.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:18.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:18.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:19.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:19.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:19.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:20.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:20.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:20.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:21.667145,13019,13672,18446619757348945920,824634138624,2888,3,998997803,0,0,0,2,0,0,0,1
2025-08-27 14:07:21.667145,13019,13493,18446619757348945920,22155264,224,1,998028804,0,0,0,0,0,0,0,1
2025-08-27 14:07:21.667145,13019,13019,18446619757348945920,22147072,2016,1,486393224,0,0,0,0,0,0,0,1
2025-08-27 14:07:21.667145,13019,13524,18446619757348945920,824634138624,1096,,511979746,,,,,,,,
2025-08-27 14:07:22.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:22.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:22.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:23.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:23.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:23.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:24.667145,13019,13493,18446619757348945920,22155264,224,1,998232805,0,0,0,0,0,0,0,1
2025-08-27 14:07:24.667145,13019,13672,18446619757348945920,824634138624,2888,1,532223284,0,0,0,0,0,0,0,1
2025-08-27 14:07:24.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:24.667145,13019,13019,18446619757348945920,22147072,2016,,467731335,,,,,,,,
2025-08-27 14:07:25.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:25.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:25.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:26.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:26.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:26.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:27.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:27.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:27.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:28.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:28.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:28.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:29.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:29.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:29.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:30.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:30.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:30.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:31.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:31.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:31.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:32.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:32.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:32.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:33.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:33.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:33.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:34.667145,13019,13019,18446619757348945920,22147072,2016,1,999951169,0,0,0,0,0,0,0,1
2025-08-27 14:07:34.667145,13019,13493,18446619757348945920,22155264,224,1,995834613,0,0,0,0,0,0,0,1
2025-08-27 14:07:34.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:35.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:35.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:35.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:36.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:36.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:36.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:37.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:37.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:37.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:38.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:38.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:38.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:39.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:39.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:39.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:40.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:40.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:40.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:41.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:41.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:41.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:42.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:42.667145,13019,13524,18446619757348945920,824634138624,1096,,1000000000,,,,,,,,
2025-08-27 14:07:42.667145,13019,13019,18446619757348945920,22147072,2016,,1000000000,,,,,,,,
2025-08-27 14:07:43.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
